,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,agi_inflow_capita,agi_outflow_capita
3470,Rockdale County total migration-1920,"Rockdale County Total Migration-US and Foreign, GA",1920,2019,2020,8666,168536000,8468,174697000,198,-6161000,Rockdale County,19447.957535195015,20630.25507794048
3483,Cherokee County total migration-2021,"Cherokee County Total Migration-US and Foreign, GA",2021,2020,2021,20232,878687000,15177,645299000,5055,233388000,Cherokee County,43430.555555555555,42518.21835672399
3520,Clayton County total migration-2021,"Clayton County Total Migration-US and Foreign, GA",2021,2020,2021,24530,411560000,26456,447946000,-1926,-36386000,Clayton County,16777.8230737872,16931.735712125796
3563,Cobb County total migration-2021,"Cobb County Total Migration-US and Foreign, GA",2021,2020,2021,50863,2063626000,52805,2216824000,-1942,-153198000,Cobb County,40572.24308436388,41981.32752580248
3708,DeKalb County total migration-2021,"DeKalb County Total Migration-US and Foreign, GA",2021,2020,2021,54072,2067437000,62504,2354152000,-8432,-286715000,DeKalb County,38234.89051634857,37664.02150262383
3851,Douglas County total migration-2021,"Douglas County Total Migration-US and Foreign, GA",2021,2020,2021,13148,284706000,12481,324825000,667,-40119000,Douglas County,21653.939762701553,26025.558849451165
3870,Fayette County total migration-2021,"Fayette County Total Migration-US and Foreign, GA",2021,2020,2021,9640,368703000,8100,344422000,1540,24281000,Fayette County,38247.199170124484,42521.234567901236
3883,Forsyth County total migration-2021,"Forsyth County Total Migration-US and Foreign, GA",2021,2020,2021,21794,1018546000,14992,798339000,6802,220207000,Forsyth County,46735.15646508213,53251.00053361793
3914,Fulton County total migration-2021,"Fulton County Total Migration-US and Foreign, GA",2021,2020,2021,81827,4287498000,87780,4931441000,-5953,-643943000,Fulton County,52397.106089677,56179.55115060378
4127,Gwinnett County total migration-2021,"Gwinnett County Total Migration-US and Foreign, GA",2021,2020,2021,59246,1744287000,58424,2088428000,822,-344141000,Gwinnett County,29441.430645106844,35746.063261673284
4282,Henry County total migration-2021,"Henry County Total Migration-US and Foreign, GA",2021,2020,2021,21431,494328000,18868,505148000,2563,-10820000,Henry County,23066.02585040362,26772.736909052364
4325,Rockdale County total migration-2021,"Rockdale County Total Migration-US and Foreign, GA",2021,2020,2021,8672,183749000,8082,191279000,590,-7530000,Rockdale County,21188.768450184503,23667.2853254145
4336,Cherokee County total migration-1516,"Cherokee County Total Migration-US and Foreign, GA",1516,2015,2016,17472,601078000,13379,433281000,4093,167797000,Cherokee County,34402.35805860806,32385.15584124374
4364,Clayton County total migration-1516,"Clayton County Total Migration-US and Foreign, GA",1516,2015,2016,26804,319684000,23931,337726000,2873,-18042000,Clayton County,11926.72735412625,14112.490075634114
4402,Cobb County total migration-1516,"Cobb County Total Migration-US and Foreign, GA",1516,2015,2016,52800,1654723000,53630,1822774000,-830,-168051000,Cobb County,31339.450757575756,33987.95450307664
4545,DeKalb County total migration-1516,"DeKalb County Total Migration-US and Foreign, GA",1516,2015,2016,58656,1728524000,61977,1983743000,-3321,-255219000,DeKalb County,29468.835242771413,32007.728673540183
4691,Douglas County total migration-1516,"Douglas County Total Migration-US and Foreign, GA",1516,2015,2016,11974,210906000,11226,230716000,748,-19810000,Douglas County,17613.662936362118,20551.933012649206
4705,Fayette County total migration-1516,"Fayette County Total Migration-US and Foreign, GA",1516,2015,2016,9866,312196000,7227,260383000,2639,51813000,Fayette County,31643.62456922765,36029.19607029196
4715,Forsyth County total migration-1516,"Forsyth County Total Migration-US and Foreign, GA",1516,2015,2016,19197,770372000,11569,521058000,7628,249314000,Forsyth County,40129.81194978382,45039.15636615092
4739,Fulton County total migration-1516,"Fulton County Total Migration-US and Foreign, GA",1516,2015,2016,83422,3515855000,81458,3288646000,1964,227209000,Fulton County,42145.417276018314,40372.290014485996
4931,Gwinnett County total migration-1516,"Gwinnett County Total Migration-US and Foreign, GA",1516,2015,2016,58553,1357676000,55863,1532504000,2690,-174828000,Gwinnett County,23187.129609072123,27433.25635930759
5078,Henry County total migration-1516,"Henry County Total Migration-US and Foreign, GA",1516,2015,2016,17895,338303000,15316,345564000,2579,-7261000,Henry County,18904.88963397597,22562.287803604075
5112,Rockdale County total migration-1516,"Rockdale County Total Migration-US and Foreign, GA",1516,2015,2016,7487,130084000,7028,135662000,459,-5578000,Rockdale County,17374.649392279953,19303.0734206033
