,y1_countyname,y1_state,y2_countyname,y2_state,n2_outflow,agi_perThou_outflow,agi_outflow,yr_range,year1,year2,mig_direction2,unique_tag,secondary_county
377756,Fulton County,GA,Alachua County,FL,49,2288,2288000,1920,2019,2020,outflow,Fulton County-Alachua County-FL-1920,"Alachua County, FL"
377757,Fulton County,GA,Jefferson Parish,LA,48,2425,2425000,1920,2019,2020,outflow,Fulton County-Jefferson Parish-LA-1920,"Jefferson Parish, LA"
377758,Fulton County,GA,Washtenaw County,MI,43,2525,2525000,1920,2019,2020,outflow,Fulton County-Washtenaw County-MI-1920,"Washtenaw County, MI"
377759,Fulton County,GA,St. Louis city,MO,51,1277,1277000,1920,2019,2020,outflow,Fulton County-St. Louis city-MO-1920,"St. Louis city, MO"
377760,Fulton County,GA,Prince William County,VA,53,2007,2007000,1920,2019,2020,outflow,Fulton County-Prince William County-VA-1920,"Prince William County, VA"
377761,Fulton County,GA,Alexandria city,VA,36,2449,2449000,1920,2019,2020,outflow,Fulton County-Alexandria city-VA-1920,"Alexandria city, VA"
377762,Fulton County,GA,Fairfield County,CT,45,3036,3036000,1920,2019,2020,outflow,Fulton County-Fairfield County-CT-1920,"Fairfield County, CT"
377763,Fulton County,GA,Forsyth County,NC,54,4285,4285000,1920,2019,2020,outflow,Fulton County-Forsyth County-NC-1920,"Forsyth County, NC"
377764,Fulton County,GA,Morgan County,GA,47,4355,4355000,1920,2019,2020,outflow,Fulton County-Morgan County-GA-1920,"Morgan County, GA"
377765,Fulton County,GA,Tuscaloosa County,AL,41,1389,1389000,1920,2019,2020,outflow,Fulton County-Tuscaloosa County-AL-1920,"Tuscaloosa County, AL"
377766,Fulton County,GA,Okaloosa County,FL,44,3131,3131000,1920,2019,2020,outflow,Fulton County-Okaloosa County-FL-1920,"Okaloosa County, FL"
377767,Fulton County,GA,East Baton Rouge Parish,LA,50,1739,1739000,1920,2019,2020,outflow,Fulton County-East Baton Rouge Parish-LA-1920,"East Baton Rouge Parish, LA"
377768,Fulton County,GA,Erie County,NY,59,1576,1576000,1920,2019,2020,outflow,Fulton County-Erie County-NY-1920,"Erie County, NY"
377769,Fulton County,GA,Westchester County,NY,40,2627,2627000,1920,2019,2020,outflow,Fulton County-Westchester County-NY-1920,"Westchester County, NY"
377770,Fulton County,GA,Horry County,SC,48,2538,2538000,1920,2019,2020,outflow,Fulton County-Horry County-SC-1920,"Horry County, SC"
377771,Fulton County,GA,Osceola County,FL,51,3699,3699000,1920,2019,2020,outflow,Fulton County-Osceola County-FL-1920,"Osceola County, FL"
377772,Fulton County,GA,Whitfield County,GA,36,1259,1259000,1920,2019,2020,outflow,Fulton County-Whitfield County-GA-1920,"Whitfield County, GA"
377773,Fulton County,GA,Johnson County,KS,58,2261,2261000,1920,2019,2020,outflow,Fulton County-Johnson County-KS-1920,"Johnson County, KS"
377774,Fulton County,GA,Essex County,MA,40,2862,2862000,1920,2019,2020,outflow,Fulton County-Essex County-MA-1920,"Essex County, MA"
377775,Fulton County,GA,Bernalillo County,NM,42,2462,2462000,1920,2019,2020,outflow,Fulton County-Bernalillo County-NM-1920,"Bernalillo County, NM"
377776,Fulton County,GA,Chester County,PA,40,2167,2167000,1920,2019,2020,outflow,Fulton County-Chester County-PA-1920,"Chester County, PA"
377777,Fulton County,GA,Dane County,WI,40,2008,2008000,1920,2019,2020,outflow,Fulton County-Dane County-WI-1920,"Dane County, WI"
377778,Fulton County,GA,Pulaski County,AR,56,1671,1671000,1920,2019,2020,outflow,Fulton County-Pulaski County-AR-1920,"Pulaski County, AR"
377779,Fulton County,GA,Habersham County,GA,41,2004,2004000,1920,2019,2020,outflow,Fulton County-Habersham County-GA-1920,"Habersham County, GA"
377780,Fulton County,GA,Norfolk County,MA,43,3136,3136000,1920,2019,2020,outflow,Fulton County-Norfolk County-MA-1920,"Norfolk County, MA"
377781,Fulton County,GA,Hinds County,MS,43,972,972000,1920,2019,2020,outflow,Fulton County-Hinds County-MS-1920,"Hinds County, MS"
377782,Fulton County,GA,Washington County,OR,31,1621,1621000,1920,2019,2020,outflow,Fulton County-Washington County-OR-1920,"Washington County, OR"
377783,Fulton County,GA,Lexington County,SC,37,867,867000,1920,2019,2020,outflow,Fulton County-Lexington County-SC-1920,"Lexington County, SC"
377784,Fulton County,GA,Chesterfield County,VA,49,2986,2986000,1920,2019,2020,outflow,Fulton County-Chesterfield County-VA-1920,"Chesterfield County, VA"
377785,Fulton County,GA,St. Lucie County,FL,42,1967,1967000,1920,2019,2020,outflow,Fulton County-St. Lucie County-FL-1920,"St. Lucie County, FL"
377786,Fulton County,GA,Bulloch County,GA,43,674,674000,1920,2019,2020,outflow,Fulton County-Bulloch County-GA-1920,"Bulloch County, GA"
377787,Fulton County,GA,Liberty County,GA,59,1314,1314000,1920,2019,2020,outflow,Fulton County-Liberty County-GA-1920,"Liberty County, GA"
377788,Fulton County,GA,Union County,GA,39,2673,2673000,1920,2019,2020,outflow,Fulton County-Union County-GA-1920,"Union County, GA"
377789,Fulton County,GA,White County,GA,40,2092,2092000,1920,2019,2020,outflow,Fulton County-White County-GA-1920,"White County, GA"
377790,Fulton County,GA,Ada County,ID,33,2927,2927000,1920,2019,2020,outflow,Fulton County-Ada County-ID-1920,"Ada County, ID"
377791,Fulton County,GA,Hamilton County,IN,57,3144,3144000,1920,2019,2020,outflow,Fulton County-Hamilton County-IN-1920,"Hamilton County, IN"
377792,Fulton County,GA,Monroe County,NY,43,2268,2268000,1920,2019,2020,outflow,Fulton County-Monroe County-NY-1920,"Monroe County, NY"
377793,Fulton County,GA,Suffolk County,NY,35,2295,2295000,1920,2019,2020,outflow,Fulton County-Suffolk County-NY-1920,"Suffolk County, NY"
377794,Fulton County,GA,Cabarrus County,NC,59,1518,1518000,1920,2019,2020,outflow,Fulton County-Cabarrus County-NC-1920,"Cabarrus County, NC"
377795,Fulton County,GA,Montgomery County,OH,41,1379,1379000,1920,2019,2020,outflow,Fulton County-Montgomery County-OH-1920,"Montgomery County, OH"
377796,Fulton County,GA,York County,SC,55,3496,3496000,1920,2019,2020,outflow,Fulton County-York County-SC-1920,"York County, SC"
377797,Fulton County,GA,Larimer County,CO,48,4025,4025000,1920,2019,2020,outflow,Fulton County-Larimer County-CO-1920,"Larimer County, CO"
377798,Fulton County,GA,Clay County,FL,36,1694,1694000,1920,2019,2020,outflow,Fulton County-Clay County-FL-1920,"Clay County, FL"
377799,Fulton County,GA,Baldwin County,GA,40,2051,2051000,1920,2019,2020,outflow,Fulton County-Baldwin County-GA-1920,"Baldwin County, GA"
377800,Fulton County,GA,Howard County,MD,39,2364,2364000,1920,2019,2020,outflow,Fulton County-Howard County-MD-1920,"Howard County, MD"
377801,Fulton County,GA,Iredell County,NC,39,4317,4317000,1920,2019,2020,outflow,Fulton County-Iredell County-NC-1920,"Iredell County, NC"
377802,Fulton County,GA,Providence County,RI,31,1849,1849000,1920,2019,2020,outflow,Fulton County-Providence County-RI-1920,"Providence County, RI"
377803,Fulton County,GA,Aiken County,SC,32,2219,2219000,1920,2019,2020,outflow,Fulton County-Aiken County-SC-1920,"Aiken County, SC"
377804,Fulton County,GA,Contra Costa County,CA,38,1883,1883000,1920,2019,2020,outflow,Fulton County-Contra Costa County-CA-1920,"Contra Costa County, CA"
377805,Fulton County,GA,Butts County,GA,42,1695,1695000,1920,2019,2020,outflow,Fulton County-Butts County-GA-1920,"Butts County, GA"
377806,Fulton County,GA,Kent County,MI,46,2375,2375000,1920,2019,2020,outflow,Fulton County-Kent County-MI-1920,"Kent County, MI"
377807,Fulton County,GA,Union County,NJ,34,1469,1469000,1920,2019,2020,outflow,Fulton County-Union County-NJ-1920,"Union County, NJ"
377808,Fulton County,GA,Macon County,NC,35,5870,5870000,1920,2019,2020,outflow,Fulton County-Macon County-NC-1920,"Macon County, NC"
377809,Fulton County,GA,Onslow County,NC,44,1088,1088000,1920,2019,2020,outflow,Fulton County-Onslow County-NC-1920,"Onslow County, NC"
377810,Fulton County,GA,Warren County,OH,48,3202,3202000,1920,2019,2020,outflow,Fulton County-Warren County-OH-1920,"Warren County, OH"
377811,Fulton County,GA,Norfolk city,VA,29,1757,1757000,1920,2019,2020,outflow,Fulton County-Norfolk city-VA-1920,"Norfolk city, VA"
377812,Fulton County,GA,San Bernardino County,CA,38,1106,1106000,1920,2019,2020,outflow,Fulton County-San Bernardino County-CA-1920,"San Bernardino County, CA"
377813,Fulton County,GA,Flagler County,FL,44,7000,7000000,1920,2019,2020,outflow,Fulton County-Flagler County-FL-1920,"Flagler County, FL"
377814,Fulton County,GA,Cumberland County,ME,57,5118,5118000,1920,2019,2020,outflow,Fulton County-Cumberland County-ME-1920,"Cumberland County, ME"
377815,Fulton County,GA,Douglas County,NE,52,2316,2316000,1920,2019,2020,outflow,Fulton County-Douglas County-NE-1920,"Douglas County, NE"
377816,Fulton County,GA,Berkeley County,SC,36,1419,1419000,1920,2019,2020,outflow,Fulton County-Berkeley County-SC-1920,"Berkeley County, SC"
377817,Fulton County,GA,Snohomish County,WA,36,1927,1927000,1920,2019,2020,outflow,Fulton County-Snohomish County-WA-1920,"Snohomish County, WA"
377818,Fulton County,GA,Lake County,FL,35,1707,1707000,1920,2019,2020,outflow,Fulton County-Lake County-FL-1920,"Lake County, FL"
377819,Fulton County,GA,Hart County,GA,37,3772,3772000,1920,2019,2020,outflow,Fulton County-Hart County-GA-1920,"Hart County, GA"
377820,Fulton County,GA,Macomb County,MI,33,711,711000,1920,2019,2020,outflow,Fulton County-Macomb County-MI-1920,"Macomb County, MI"
377821,Fulton County,GA,Summit County,OH,34,1274,1274000,1920,2019,2020,outflow,Fulton County-Summit County-OH-1920,"Summit County, OH"
377822,Fulton County,GA,Montgomery County,TX,39,5407,5407000,1920,2019,2020,outflow,Fulton County-Montgomery County-TX-1920,"Montgomery County, TX"
377823,Fulton County,GA,Fayette County,KY,23,1356,1356000,1920,2019,2020,outflow,Fulton County-Fayette County-KY-1920,"Fayette County, KY"
377824,Fulton County,GA,Onondaga County,NY,28,1016,1016000,1920,2019,2020,outflow,Fulton County-Onondaga County-NY-1920,"Onondaga County, NY"
377825,Fulton County,GA,Anderson County,SC,41,2017,2017000,1920,2019,2020,outflow,Fulton County-Anderson County-SC-1920,"Anderson County, SC"
377826,Fulton County,GA,Montgomery County,TN,31,952,952000,1920,2019,2020,outflow,Fulton County-Montgomery County-TN-1920,"Montgomery County, TN"
377827,Fulton County,GA,Utah County,UT,44,1208,1208000,1920,2019,2020,outflow,Fulton County-Utah County-UT-1920,"Utah County, UT"
377939,Gwinnett County,GA,Gwinnett County Total Migration-US and Foreign,GA,60255,1956951,1956951000,1920,2019,2020,outflow,Gwinnett County total migration-1920,"Gwinnett County Total Migration-US and Foreign, GA"
377945,Gwinnett County,GA,DeKalb County,GA,7944,205329,205329000,1920,2019,2020,outflow,Gwinnett County-DeKalb County-GA-1920,"DeKalb County, GA"
377946,Gwinnett County,GA,Fulton County,GA,6012,248248,248248000,1920,2019,2020,outflow,Gwinnett County-Fulton County-GA-1920,"Fulton County, GA"
377947,Gwinnett County,GA,Hall County,GA,3844,150485,150485000,1920,2019,2020,outflow,Gwinnett County-Hall County-GA-1920,"Hall County, GA"
377948,Gwinnett County,GA,Barrow County,GA,3049,76562,76562000,1920,2019,2020,outflow,Gwinnett County-Barrow County-GA-1920,"Barrow County, GA"
377949,Gwinnett County,GA,Walton County,GA,3152,87300,87300000,1920,2019,2020,outflow,Gwinnett County-Walton County-GA-1920,"Walton County, GA"
377950,Gwinnett County,GA,Cobb County,GA,2090,64320,64320000,1920,2019,2020,outflow,Gwinnett County-Cobb County-GA-1920,"Cobb County, GA"
377951,Gwinnett County,GA,Forsyth County,GA,2527,102955,102955000,1920,2019,2020,outflow,Gwinnett County-Forsyth County-GA-1920,"Forsyth County, GA"
377952,Gwinnett County,GA,Jackson County,GA,2223,72482,72482000,1920,2019,2020,outflow,Gwinnett County-Jackson County-GA-1920,"Jackson County, GA"
377953,Gwinnett County,GA,Clayton County,GA,836,11881,11881000,1920,2019,2020,outflow,Gwinnett County-Clayton County-GA-1920,"Clayton County, GA"
377954,Gwinnett County,GA,Rockdale County,GA,819,15221,15221000,1920,2019,2020,outflow,Gwinnett County-Rockdale County-GA-1920,"Rockdale County, GA"
377955,Gwinnett County,GA,Cherokee County,GA,759,27065,27065000,1920,2019,2020,outflow,Gwinnett County-Cherokee County-GA-1920,"Cherokee County, GA"
377956,Gwinnett County,GA,Henry County,GA,714,17043,17043000,1920,2019,2020,outflow,Gwinnett County-Henry County-GA-1920,"Henry County, GA"
377957,Gwinnett County,GA,Newton County,GA,720,14687,14687000,1920,2019,2020,outflow,Gwinnett County-Newton County-GA-1920,"Newton County, GA"
377958,Gwinnett County,GA,Clarke County,GA,433,11908,11908000,1920,2019,2020,outflow,Gwinnett County-Clarke County-GA-1920,"Clarke County, GA"
